City,Date,AQI,AQI_Bucket,PM2.5,PM10,NO2,CO,SO2,O3
Bengaluru,2015-01-01,123.0,,51.67,105.95,17.33,0.33,3.54,10.73
Bengaluru,2015-01-02,123.0,,51.67,105.95,19.73,1.35,3.97,22.77
Bengaluru,2015-01-03,123.0,,51.67,105.95,19.88,17.4,13.61,12.03
Bengaluru,2015-01-04,123.0,,51.67,105.95,21.61,5.05,6.52,17.7
Bengaluru,2015-01-05,123.0,,51.67,105.95,22.17,1.83,4.71,12.72
Bengaluru,2015-01-06,123.0,,51.67,105.95,23.2,0.52,4.42,13.82
Bengaluru,2015-01-07,123.0,,51.67,105.95,28.66,1.46,5.13,16.98
Bengaluru,2015-01-08,123.0,,51.67,105.95,31.1,2.3,7.07,17.35
Bengaluru,2015-01-09,123.0,,51.67,105.95,25.98,0.54,12.84,16.27
Bengaluru,2015-01-10,123.0,,51.67,105.95,29.23,1.69,3.08,25.01
Bengaluru,2015-01-11,123.0,,51.67,105.95,29.84,2.59,8.2,16.07
Bengaluru,2015-01-12,123.0,,51.67,105.95,28.4,0.61,7.16,16.41
Bengaluru,2015-01-13,123.0,,51.67,105.95,30.56,0.63,6.51,10.34
Bengaluru,2015-01-14,123.0,,51.67,105.95,25.94,1.83,8.66,16.47
Bengaluru,2015-01-15,123.0,,51.67,105.95,20.64,3.29,6.24,19.35
Bengaluru,2015-01-16,123.0,,51.67,105.95,18.51,16.41,19.28,16.02
Bengaluru,2015-01-17,123.0,,51.67,105.95,17.37,15.98,24.91,14.33
Bengaluru,2015-01-18,123.0,,51.67,105.95,17.2,9.04,22.18,22.48
Bengaluru,2015-01-19,123.0,,51.67,105.95,16.74,8.09,27.99,23.34
Bengaluru,2015-01-20,123.0,,51.67,105.95,7.24,4.05,92.66,103.68
Bengaluru,2015-01-21,123.0,,51.67,105.95,5.45,18.3,82.07,34.07
Bengaluru,2015-01-22,123.0,,51.67,105.95,13.57,3.32,57.51,41.95
Bengaluru,2015-01-23,123.0,,51.67,105.95,12.82,5.04,27.33,17.78
Bengaluru,2015-01-24,123.0,,51.67,105.95,16.27,2.42,6.47,14.72
Bengaluru,2015-01-25,123.0,,51.67,105.95,16.32,3.39,3.32,16.27
Bengaluru,2015-01-26,123.0,,51.67,105.95,13.85,5.39,2.95,21.35
Bengaluru,2015-01-27,123.0,,51.67,105.95,16.71,1.71,3.09,27.37
Bengaluru,2015-01-28,123.0,,51.67,105.95,14.85,4.87,6.53,17.05
Bengaluru,2015-01-29,123.0,,51.67,105.95,10.45,2.26,3.03,18.78
Bengaluru,2015-01-30,123.0,,51.67,105.95,4.93,1.06,24.31,19.51
